element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
plugins/org.eclipse.reddeer.workbench/src/org/eclipse/reddeer/workbench/handler/EditorHandler.java\org.eclipse.reddeer.workbench.handler.EditorHandler,2019/2/12 22:19,2017/4/25 14:44,Remove Class Annotation,b5f1f7fda2877aee6e7415d6f02cf21174e149160,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23759
tests/org.eclipse.reddeer.junit.test/src/org/eclipse/reddeer/junit/test/runner/RedDeerSuiteTest.java\@CustomServerAnnotation,2019/2/12 19:49,2017/6/27 21:34,Remove Class Annotation,3b99dd885124f1720ab3676c019f7b47cd8033d03,Add Class Annotation,e81f31b6990f258526535ee1e5b4f6eb6c1906d7162
tests/org.eclipse.reddeer.junit.test/src/org/eclipse/reddeer/junit/test/runner/RedDeerSuiteTest.java\@CustomServerAnnotation,2019/2/12 19:49,2017/6/27 21:34,Remove Class Annotation,3b99dd885124f1720ab3676c019f7b47cd8033d03,Add Class Annotation,e81f31b6990f258526535ee1e5b4f6eb6c1906d7164
tests/org.eclipse.reddeer.workbench.test/src/org/eclipse/reddeer/workbench/test/editor/TextEditorTest.java\public getMarkers() : void,2019/1/28 16:00,2018/1/8 20:06,Modify Method Annotation,3977228e98c951a60dcacddba1f56cd3b94b209f13,Extract Variable,5561f9946cd31ecce1a1ed868fde0bc4da64d8981
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/preferences/BuildPathsPropertyPage.java\null,2019/1/24 15:00,2017/6/27 23:02,Extract Method,5791383f991e4b2503988d5db59cc85b93055cfc1,Extract Variable,371347dd8da919990c353dd1b447fab1723479c60
"plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/preferences/BuildPathsPropertyPage.java\public removeVariable(label String, removeGlobally boolean) : BuildPathsPropertyPage",2019/1/24 15:00,2017/7/21 14:06,Extract Method,5791383f991e4b2503988d5db59cc85b93055cfc2,Change Return Type,6636e1ddb5e010ccec38990bcf99da0594bcd33939
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/preferences/BuildPathsPropertyPage.java\null,2019/1/24 15:00,2017/6/27 23:02,Extract Method,5791383f991e4b2503988d5db59cc85b93055cfc2,Extract Variable,371347dd8da919990c353dd1b447fab1723479c60
tests/org.eclipse.reddeer.eclipse.test/src/org/eclipse/reddeer/eclipse/test/jdt/EnumWizardTest.java\org.eclipse.reddeer.eclipse.test.jdt.EnumWizardTest,2018/8/15 21:04,2017/4/25 14:44,Move Class,a7fb4d90abdd02afe07097ce9aaa28ed6fe0d38a0,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
tests/org.eclipse.reddeer.eclipse.test/src/org/eclipse/reddeer/eclipse/test/jdt/EnumWizardTest.java\org.eclipse.reddeer.eclipse.test.jdt.EnumWizardTest,2018/8/15 21:04,2017/4/25 14:44,Move Class,a7fb4d90abdd02afe07097ce9aaa28ed6fe0d38a0,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23809
tests/org.eclipse.reddeer.ui.test/src/org/eclipse/reddeer/ui/test/wizard/RedDeerWizardTestCase.java\org.eclipse.reddeer.ui.test.wizard.RedDeerWizardTestCase,2018/6/7 14:49,2017/4/25 14:44,Add Class Annotation,24cc95d4bf3bd3b1ae1a0cc114b58404fb9d534f10,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
tests/org.eclipse.reddeer.ui.test/src/org/eclipse/reddeer/ui/test/wizard/RedDeerWizardTestCase.java\org.eclipse.reddeer.ui.test.wizard.RedDeerWizardTestCase,2018/6/7 14:49,2017/4/25 14:44,Add Class Annotation,24cc95d4bf3bd3b1ae1a0cc114b58404fb9d534f10,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f231060
tests/org.eclipse.reddeer.ui.test/src/org/eclipse/reddeer/ui/test/wizard/RedDeerWizardTestCase.java\org.eclipse.reddeer.ui.test.wizard.RedDeerWizardTestCase,2018/6/7 14:49,2017/4/25 14:44,Add Class Annotation,24cc95d4bf3bd3b1ae1a0cc114b58404fb9d534f11,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
tests/org.eclipse.reddeer.ui.test/src/org/eclipse/reddeer/ui/test/wizard/RedDeerWizardTestCase.java\org.eclipse.reddeer.ui.test.wizard.RedDeerWizardTestCase,2018/6/7 14:49,2017/4/25 14:44,Add Class Annotation,24cc95d4bf3bd3b1ae1a0cc114b58404fb9d534f11,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f231060
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/ui/perspectives/AbstractPerspective.java\public reset() : void,2018/5/2 16:00,2017/8/1 17:20,Extract Method,95afe1dc2f164084727435b44ba8beb53d2d4c9f0,Change Variable Type,b4aa601e1d2700ce920c4b2491f3f91b5b79f4c623
tests/org.eclipse.reddeer.junit.test/src/org/eclipse/reddeer/junit/test/internal/requirement/parameterized/inject/ParameterizedRequirementTest.java\org.eclipse.reddeer.junit.test.internal.requirement.parameterized.inject.ParameterizedRequirementTest,2018/4/26 19:28,2017/4/25 14:44,Add Class Annotation,2b53492038489bebc9f2f39affb796c577eeb6760,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
tests/org.eclipse.reddeer.junit.test/src/org/eclipse/reddeer/junit/test/internal/requirement/parameterized/inject/ParameterizedRequirementTest.java\org.eclipse.reddeer.junit.test.internal.requirement.parameterized.inject.ParameterizedRequirementTest,2018/4/26 19:28,2017/4/25 14:44,Add Class Annotation,2b53492038489bebc9f2f39affb796c577eeb6760,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23976
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/RemotePluginTestRunner.java\org.eclipse.reddeer.eclipse.core.RemotePluginTestRunner,2018/3/23 15:20,2017/4/25 14:44,Move Package,e13032b5dda7a580ae73e1f17cf61c6aa6978c420,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/RemotePluginTestRunner.java\org.eclipse.reddeer.eclipse.core.RemotePluginTestRunner,2018/3/23 15:20,2017/4/25 14:44,Move Package,e13032b5dda7a580ae73e1f17cf61c6aa6978c420,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23697
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/UITestApplication.java\org.eclipse.reddeer.eclipse.core.UITestApplication,2018/3/23 15:20,2017/4/25 14:44,Move Package,e13032b5dda7a580ae73e1f17cf61c6aa6978c420,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/UITestApplication.java\org.eclipse.reddeer.eclipse.core.UITestApplication,2018/3/23 15:20,2017/4/25 14:44,Move Package,e13032b5dda7a580ae73e1f17cf61c6aa6978c420,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23698
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/RemotePluginTestRunner.java\org.eclipse.reddeer.eclipse.core.RemotePluginTestRunner,2018/3/23 15:20,2017/4/25 14:44,Move Class,e13032b5dda7a580ae73e1f17cf61c6aa6978c421,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/RemotePluginTestRunner.java\org.eclipse.reddeer.eclipse.core.RemotePluginTestRunner,2018/3/23 15:20,2017/4/25 14:44,Move Class,e13032b5dda7a580ae73e1f17cf61c6aa6978c421,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23697
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/UITestApplication.java\org.eclipse.reddeer.eclipse.core.UITestApplication,2018/3/23 15:20,2017/4/25 14:44,Move Class,e13032b5dda7a580ae73e1f17cf61c6aa6978c422,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.ui/src/org/eclipse/reddeer/eclipse/core/UITestApplication.java\org.eclipse.reddeer.eclipse.core.UITestApplication,2018/3/23 15:20,2017/4/25 14:44,Move Class,e13032b5dda7a580ae73e1f17cf61c6aa6978c422,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23698
plugins/org.eclipse.reddeer.workbench/src/org/eclipse/reddeer/workbench/part/AbstractWorkbenchPart.java\protected cTabItem : CTabItem,2018/2/13 16:10,2017/6/12 22:06,Encapsulate Attribute,b7d743a2fbafdb509b33a5c573f8229a570dc9990,Pull Up Attribute,bfbff8d7c285791f21a745246141d6d92b0c55ef18
