element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
eagle-jpm/eagle-jpm-entity/src/main/java/org/apache/eagle/jpm/mr/historyentity/JobExecutionAPIEntity.java\org.apache.eagle.jpm.mr.historyentity.JobExecutionAPIEntity,2017/5/19 13:55,2017/2/21 15:57,Add Class Annotation,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5773,Modify Class Annotation,45a6493999853328b89c16cd1dbc462a4315953a3,af9b056dc453f46c6a2aeb92d8dd6fe503f1b577,45a6493999853328b89c16cd1dbc462a4315953a,af9b056dc453f46c6a2aeb92d8dd6fe503f1b577345a6493999853328b89c16cd1dbc462a4315953a3
eagle-jpm/eagle-jpm-entity/src/main/java/org/apache/eagle/jpm/mr/historyentity/JobExecutionAPIEntity.java\org.apache.eagle.jpm.mr.historyentity.JobExecutionAPIEntity,2017/5/19 13:55,2016/8/19 17:49,Add Class Annotation,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5773,Move Package,d6ec142d3b1a6de28787e5fcda94f8f28cf02a3e7,af9b056dc453f46c6a2aeb92d8dd6fe503f1b577,d6ec142d3b1a6de28787e5fcda94f8f28cf02a3e,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5773d6ec142d3b1a6de28787e5fcda94f8f28cf02a3e7
eagle-jpm/eagle-jpm-entity/src/main/java/org/apache/eagle/jpm/mr/historyentity/JobExecutionAPIEntity.java\org.apache.eagle.jpm.mr.historyentity.JobExecutionAPIEntity,2017/5/19 13:55,2016/8/19 17:49,Add Class Annotation,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5773,Move Class,d6ec142d3b1a6de28787e5fcda94f8f28cf02a3e19,af9b056dc453f46c6a2aeb92d8dd6fe503f1b577,d6ec142d3b1a6de28787e5fcda94f8f28cf02a3e,af9b056dc453f46c6a2aeb92d8dd6fe503f1b5773d6ec142d3b1a6de28787e5fcda94f8f28cf02a3e19
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\publishPluginMapping : Map<PublishPartition,AlertPublishPlugin>",2017/5/5 13:02,2016/11/28 20:37,Change Attribute Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b0,Change Attribute Type,70600b2609c20c3f1385e60813823abf48c63c031,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,70600b2609c20c3f1385e60813823abf48c63c03,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b070600b2609c20c3f1385e60813823abf48c63c031
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\newPublishMap : Map<PublishPartition,AlertPublishPlugin>",2017/5/5 13:02,2016/11/28 20:37,Change Variable Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1,Change Variable Type,70600b2609c20c3f1385e60813823abf48c63c032,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,70600b2609c20c3f1385e60813823abf48c63c03,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b170600b2609c20c3f1385e60813823abf48c63c032
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\public onPublishChange(added List<Publishment>, removed List<Publishment>, afterModified List<Publishment>, beforeModified List<Publishment>) : void",2017/5/5 13:02,2016/11/28 20:37,Change Variable Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1,Change Variable Type,70600b2609c20c3f1385e60813823abf48c63c032,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,70600b2609c20c3f1385e60813823abf48c63c03,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b170600b2609c20c3f1385e60813823abf48c63c032
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\public onPublishChange(added List<Publishment>, removed List<Publishment>, afterModified List<Publishment>, beforeModified List<Publishment>) : void",2017/5/5 13:02,2016/11/8 11:32,Change Variable Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1,Change Variable Type,607e74a7485d557016b39ad4c7910ec732c21c483,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,607e74a7485d557016b39ad4c7910ec732c21c48,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1607e74a7485d557016b39ad4c7910ec732c21c483
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\public onPublishChange(added List<Publishment>, removed List<Publishment>, afterModified List<Publishment>, beforeModified List<Publishment>) : void",2017/5/5 13:02,2016/11/8 11:32,Change Variable Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1,Rename Variable,607e74a7485d557016b39ad4c7910ec732c21c484,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,607e74a7485d557016b39ad4c7910ec732c21c48,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1607e74a7485d557016b39ad4c7910ec732c21c484
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\public onPublishChange(added List<Publishment>, removed List<Publishment>, afterModified List<Publishment>, beforeModified List<Publishment>) : void",2017/5/5 13:02,2016/11/8 11:32,Change Variable Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1,Remove Method Annotation,607e74a7485d557016b39ad4c7910ec732c21c485,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,607e74a7485d557016b39ad4c7910ec732c21c48,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1607e74a7485d557016b39ad4c7910ec732c21c485
"eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/AlertPublisherImpl.java\public onPublishChange(added List<Publishment>, removed List<Publishment>, afterModified List<Publishment>, beforeModified List<Publishment>) : void",2017/5/5 13:02,2016/9/28 1:23,Change Variable Type,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b1,Extract Method,0fac33799e21ae92d9b4a7e98e5090b032145b061,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b,0fac33799e21ae92d9b4a7e98e5090b032145b06,8da06636b8e3834f7bebf6b1af923ad24b7d6d8b10fac33799e21ae92d9b4a7e98e5090b032145b061
