element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public newEmpty() : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a7,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8388,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a7b9dfbc2cb847ade66f49575e701c9b93d739c39d8388
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public tap(procedure Procedure<? super T>) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a8,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8348,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a8b9dfbc2cb847ade66f49575e701c9b93d739c39d8348
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public tap(procedure Procedure<? super T>) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a8,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8391,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a8b9dfbc2cb847ade66f49575e701c9b93d739c39d8391
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public with(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a9,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8314,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a9b9dfbc2cb847ade66f49575e701c9b93d739c39d8314
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public with(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a9,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8397,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a9b9dfbc2cb847ade66f49575e701c9b93d739c39d8397
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public with(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Pull Up Method,1b739e8000a89a764766d85eeca395e09ccd0b4a10,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8314,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a10b9dfbc2cb847ade66f49575e701c9b93d739c39d8314
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public with(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Pull Up Method,1b739e8000a89a764766d85eeca395e09ccd0b4a10,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8397,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a10b9dfbc2cb847ade66f49575e701c9b93d739c39d8397
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public without(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a11,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8315,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a11b9dfbc2cb847ade66f49575e701c9b93d739c39d8315
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public without(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Change Return Type,1b739e8000a89a764766d85eeca395e09ccd0b4a11,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8398,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a11b9dfbc2cb847ade66f49575e701c9b93d739c39d8398
eclipse-collections/src/main/java/org/eclipse/collections/impl/set/mutable/MultiReaderUnifiedSet.java\public without(element T) : MutableSet<T>,2022/8/31 3:54,2016/5/6 21:38,Pull Up Method,1b739e8000a89a764766d85eeca395e09ccd0b4a12,Add Method Annotation,b9dfbc2cb847ade66f49575e701c9b93d739c39d8315,1b739e8000a89a764766d85eeca395e09ccd0b4a,b9dfbc2cb847ade66f49575e701c9b93d739c39d,1b739e8000a89a764766d85eeca395e09ccd0b4a12b9dfbc2cb847ade66f49575e701c9b93d739c39d8315
